run,label,text_params,image_params,epoch,loss,val_i2t_r1,val_i2t_r5,val_i2t_r10,val_t2i_r1,gamma,hardest_negative_margin,grad_norm,seconds
fast,"1 qubit/type, 2 layers",1156525,159668,0,5.4565,0.009,0.041,0.079,0.0056,0.1001,-0.1984,0.0681,743.3
fast,"1 qubit/type, 2 layers",1156525,159668,1,5.0784,0.021,0.077,0.137,0.012,0.1804,-0.1804,0.2169,758.3
fast,"1 qubit/type, 2 layers",1156525,159668,2,4.829,0.032,0.108,0.169,0.0187,0.2203,-0.1638,0.2683,737.8
fast,"1 qubit/type, 2 layers",1156525,159668,3,4.6782,0.032,0.117,0.217,0.0209,0.2441,-0.1559,0.2962,766.7
fast,"1 qubit/type, 2 layers",1156525,159668,4,4.5668,0.045,0.156,0.253,0.0279,0.2627,-0.1497,0.3062,755.9
fast,"1 qubit/type, 2 layers",1156525,159668,5,4.4796,0.043,0.173,0.269,0.0327,0.278,-0.1458,0.3156,758.6
fast,"1 qubit/type, 2 layers",1156525,159668,6,4.402,0.042,0.195,0.292,0.0365,0.2925,-0.1451,0.3235,769.1
fast,"1 qubit/type, 2 layers",1156525,159668,7,4.3376,0.048,0.2,0.325,0.0403,0.3026,-0.1422,0.3304,785.2
fast,"1 qubit/type, 2 layers",1156525,159668,8,4.2853,0.058,0.208,0.322,0.0413,0.3115,-0.1399,0.3336,863.2
fast,"1 qubit/type, 2 layers",1156525,159668,9,4.2387,0.057,0.217,0.334,0.0429,0.3196,-0.1379,0.3407,751.6
fast,"1 qubit/type, 2 layers",1156525,159668,10,4.2035,0.053,0.234,0.344,0.0457,0.3244,-0.1337,0.3456,792.1
fast,"1 qubit/type, 2 layers",1156525,159668,11,4.1682,0.066,0.221,0.356,0.0499,0.3307,-0.132,0.3512,700.2
fast,"1 qubit/type, 2 layers",1156525,159668,12,4.1362,0.072,0.238,0.353,0.0504,0.3359,-0.1295,0.3558,720.1
fast,"1 qubit/type, 2 layers",1156525,159668,13,4.1097,0.068,0.241,0.36,0.0532,0.3402,-0.1282,0.3606,795.1
fast,"1 qubit/type, 2 layers",1156525,159668,14,4.0837,0.076,0.238,0.383,0.0578,0.3437,-0.1251,0.3668,732.0
fast,"1 qubit/type, 2 layers",1156525,159668,15,4.0569,0.077,0.252,0.388,0.0572,0.3477,-0.1241,0.3727,833.9
fast,"1 qubit/type, 2 layers",1156525,159668,16,4.0361,0.078,0.261,0.401,0.0606,0.3499,-0.1218,0.3726,792.9
fast,"1 qubit/type, 2 layers",1156525,159668,17,4.0225,0.079,0.263,0.397,0.0582,0.3528,-0.12,0.3801,837.1
fast,"1 qubit/type, 2 layers",1156525,159668,18,4.004,0.079,0.277,0.403,0.0626,0.3538,-0.1171,0.3816,851.7
fast,"1 qubit/type, 2 layers",1156525,159668,19,3.9871,0.086,0.28,0.406,0.0606,0.3568,-0.1161,0.3887,784.1
fast,"1 qubit/type, 2 layers",1156525,159668,20,3.966,0.09,0.301,0.423,0.0672,0.3593,-0.1147,0.3937,773.5
fast,"1 qubit/type, 2 layers",1156525,159668,21,3.9563,0.083,0.304,0.428,0.065,0.3609,-0.1135,0.405,766.7
fast,"1 qubit/type, 2 layers",1156525,159668,22,3.9412,0.08,0.301,0.435,0.0668,0.3633,-0.1124,0.3999,793.5
fast,"1 qubit/type, 2 layers",1156525,159668,23,3.9295,0.087,0.312,0.437,0.0672,0.364,-0.1117,0.4064,735.3
